LXT2 info: dumpfile dump.lx2 opened for output.
Current Number:    1, Prime? 0, Clocks:           4, Primes:   0
Current Number:  121, Prime? 0, Clocks:         248, Primes:  30

Current Number:  123, Prime? 0, Clocks:         252, Primes:  30

Current Number:  125, Prime? 0, Clocks:         256, Primes:  30

Current Number:  127, Prime? 1, Clocks:         260, Primes:  31

Current Number:  129, Prime? 0, Clocks:         264, Primes:  31

Current Number:  131, Prime? 1, Clocks:         268, Primes:  32

Current Number:  133, Prime? 0, Clocks:         272, Primes:  32

Current Number:  135, Prime? 0, Clocks:         276, Primes:  32

Current Number:  137, Prime? 1, Clocks:         280, Primes:  33

Current Number:  139, Prime? 1, Clocks:         284, Primes:  34

Current Number:  141, Prime? 0, Clocks:         288, Primes:  34

Current Number:  143, Prime? 0, Clocks:         292, Primes:  34

Current Number:  145, Prime? 0, Clocks:         296, Primes:  34

Current Number:  147, Prime? 0, Clocks:         300, Primes:  34

Current Number:  149, Prime? 1, Clocks:         304, Primes:  35

Current Number:  151, Prime? 1, Clocks:         308, Primes:  36

Current Number:  153, Prime? 0, Clocks:         312, Primes:  36

Current Number:  155, Prime? 0, Clocks:         316, Primes:  36

Current Number:  157, Prime? 1, Clocks:         320, Primes:  37

Current Number:  159, Prime? 0, Clocks:         324, Primes:  37

Current Number:  161, Prime? 0, Clocks:         328, Primes:  37

Current Number:  163, Prime? 1, Clocks:         332, Primes:  38

Current Number:  165, Prime? 0, Clocks:         336, Primes:  38

Current Number:  167, Prime? 1, Clocks:         340, Primes:  39

Current Number:  169, Prime? 0, Clocks:         344, Primes:  39

Current Number:  171, Prime? 0, Clocks:         348, Primes:  39

Current Number:  173, Prime? 1, Clocks:         352, Primes:  40

Current Number:  175, Prime? 0, Clocks:         356, Primes:  40

Current Number:  177, Prime? 0, Clocks:         360, Primes:  40

Current Number:  179, Prime? 1, Clocks:         364, Primes:  41

Current Number:  181, Prime? 1, Clocks:         368, Primes:  42

Current Number:  183, Prime? 0, Clocks:         372, Primes:  42

Current Number:  185, Prime? 0, Clocks:         376, Primes:  42

Current Number:  187, Prime? 0, Clocks:         380, Primes:  42

Current Number:  189, Prime? 0, Clocks:         384, Primes:  42

Current Number:  191, Prime? 1, Clocks:         388, Primes:  43

Current Number:  193, Prime? 1, Clocks:         392, Primes:  44

Current Number:  195, Prime? 0, Clocks:         396, Primes:  44

Current Number:  197, Prime? 1, Clocks:         400, Primes:  45

Current Number:  199, Prime? 1, Clocks:         404, Primes:  46

Current Number:  201, Prime? 0, Clocks:         408, Primes:  46

Current Number:  203, Prime? 0, Clocks:         412, Primes:  46

Current Number:  205, Prime? 0, Clocks:         416, Primes:  46

Current Number:  207, Prime? 0, Clocks:         420, Primes:  46

Current Number:  209, Prime? 0, Clocks:         424, Primes:  46

Current Number:  211, Prime? 1, Clocks:         428, Primes:  47

Current Number:  213, Prime? 0, Clocks:         432, Primes:  47

Current Number:  215, Prime? 0, Clocks:         436, Primes:  47

Current Number:  217, Prime? 0, Clocks:         440, Primes:  47

Current Number:  219, Prime? 0, Clocks:         444, Primes:  47

Current Number:  221, Prime? 0, Clocks:         448, Primes:  47

Current Number:  223, Prime? 1, Clocks:         452, Primes:  48

Current Number:  225, Prime? 0, Clocks:         456, Primes:  48

Current Number:  227, Prime? 1, Clocks:         460, Primes:  49

Current Number:  229, Prime? 1, Clocks:         464, Primes:  50

Current Number:  231, Prime? 0, Clocks:         468, Primes:  50

Current Number:  233, Prime? 1, Clocks:         472, Primes:  51

Current Number:  235, Prime? 0, Clocks:         476, Primes:  51

Current Number:  237, Prime? 0, Clocks:         480, Primes:  51

Current Number:  239, Prime? 1, Clocks:         484, Primes:  52

Current Number:  241, Prime? 1, Clocks:         488, Primes:  53

Current Number:  243, Prime? 0, Clocks:         492, Primes:  53

Current Number:  245, Prime? 0, Clocks:         496, Primes:  53

Current Number:  247, Prime? 0, Clocks:         500, Primes:  53

Current Number:  249, Prime? 0, Clocks:         504, Primes:  53

Current Number:  251, Prime? 1, Clocks:         508, Primes:  54

Current Number:  253, Prime? 0, Clocks:         512, Primes:  54

Current Number:  255, Prime? 0, Clocks:         516, Primes:  54

Current Number:  257, Prime? 1, Clocks:         520, Primes:  55

Current Number:  259, Prime? 0, Clocks:         524, Primes:  55

Current Number:  261, Prime? 0, Clocks:         528, Primes:  55

Current Number:  263, Prime? 1, Clocks:         532, Primes:  56

Current Number:  265, Prime? 0, Clocks:         536, Primes:  56

Current Number:  267, Prime? 0, Clocks:         540, Primes:  56

Current Number:  269, Prime? 1, Clocks:         544, Primes:  57

Current Number:  271, Prime? 1, Clocks:         548, Primes:  58

Current Number:  273, Prime? 0, Clocks:         552, Primes:  58

Current Number:  275, Prime? 0, Clocks:         556, Primes:  58

Current Number:  277, Prime? 1, Clocks:         560, Primes:  59

Current Number:  279, Prime? 0, Clocks:         564, Primes:  59

Current Number:  281, Prime? 1, Clocks:         568, Primes:  60

Current Number:  283, Prime? 1, Clocks:         572, Primes:  61

Current Number:  285, Prime? 0, Clocks:         576, Primes:  61

Current Number:  287, Prime? 0, Clocks:         580, Primes:  61

Current Number:  289, Prime? 0, Clocks:         584, Primes:  61

Current Number:  291, Prime? 0, Clocks:         588, Primes:  61

Current Number:  293, Prime? 1, Clocks:         592, Primes:  62

Current Number:  295, Prime? 0, Clocks:         596, Primes:  62

Current Number:  297, Prime? 0, Clocks:         600, Primes:  62

Current Number:  299, Prime? 0, Clocks:         604, Primes:  62

Current Number:  301, Prime? 0, Clocks:         608, Primes:  62

Current Number:  303, Prime? 0, Clocks:         612, Primes:  62

Current Number:  305, Prime? 0, Clocks:         616, Primes:  62

Current Number:  307, Prime? 1, Clocks:         620, Primes:  63

Current Number:  309, Prime? 0, Clocks:         624, Primes:  63

Current Number:  311, Prime? 1, Clocks:         628, Primes:  64

Current Number:  313, Prime? 1, Clocks:         632, Primes:  65

Current Number:  315, Prime? 0, Clocks:         636, Primes:  65

Current Number:  317, Prime? 1, Clocks:         640, Primes:  66

Current Number:  319, Prime? 0, Clocks:         644, Primes:  66

Current Number:  321, Prime? 0, Clocks:         648, Primes:  66

Current Number:  323, Prime? 0, Clocks:         652, Primes:  66

Current Number:  325, Prime? 0, Clocks:         656, Primes:  66

Current Number:  327, Prime? 0, Clocks:         660, Primes:  66

Current Number:  329, Prime? 0, Clocks:         664, Primes:  66

Current Number:  331, Prime? 1, Clocks:         668, Primes:  67

Current Number:  333, Prime? 0, Clocks:         672, Primes:  67

Current Number:  335, Prime? 0, Clocks:         676, Primes:  67

Current Number:  337, Prime? 1, Clocks:         680, Primes:  68

Current Number:  339, Prime? 0, Clocks:         684, Primes:  68

Current Number:  341, Prime? 0, Clocks:         688, Primes:  68

Current Number:  343, Prime? 0, Clocks:         692, Primes:  68

Current Number:  345, Prime? 0, Clocks:         696, Primes:  68

Current Number:  347, Prime? 1, Clocks:         700, Primes:  69

Current Number:  349, Prime? 1, Clocks:         704, Primes:  70

Current Number:  351, Prime? 0, Clocks:         708, Primes:  70

Current Number:  353, Prime? 1, Clocks:         712, Primes:  71

Current Number:  355, Prime? 0, Clocks:         716, Primes:  71

Current Number:  357, Prime? 0, Clocks:         720, Primes:  71

Current Number:  359, Prime? 1, Clocks:         724, Primes:  72

Current Number:  361, Prime? 0, Clocks:         728, Primes:  72

Current Number:  363, Prime? 0, Clocks:         732, Primes:  72

Current Number:  365, Prime? 0, Clocks:         736, Primes:  72

Current Number:  367, Prime? 1, Clocks:         740, Primes:  73

Current Number:  369, Prime? 0, Clocks:         744, Primes:  73

Current Number:  371, Prime? 0, Clocks:         748, Primes:  73

Current Number:  373, Prime? 1, Clocks:         752, Primes:  74

Current Number:  375, Prime? 0, Clocks:         756, Primes:  74

Current Number:  377, Prime? 0, Clocks:         760, Primes:  74

Current Number:  379, Prime? 1, Clocks:         764, Primes:  75

Current Number:  381, Prime? 0, Clocks:         768, Primes:  75

Current Number:  383, Prime? 1, Clocks:         772, Primes:  76

Current Number:  385, Prime? 0, Clocks:         776, Primes:  76

Current Number:  387, Prime? 0, Clocks:         780, Primes:  76

Current Number:  389, Prime? 1, Clocks:         784, Primes:  77

Current Number:  391, Prime? 0, Clocks:         788, Primes:  77

Current Number:  393, Prime? 0, Clocks:         792, Primes:  77

Current Number:  395, Prime? 0, Clocks:         796, Primes:  77

Current Number:  397, Prime? 1, Clocks:         800, Primes:  78

Current Number:  399, Prime? 0, Clocks:         804, Primes:  78

Current Number:  401, Prime? 1, Clocks:         808, Primes:  79

Current Number:  403, Prime? 0, Clocks:         812, Primes:  79

Current Number:  405, Prime? 0, Clocks:         816, Primes:  79

Current Number:  407, Prime? 0, Clocks:         820, Primes:  79

Current Number:  409, Prime? 1, Clocks:         824, Primes:  80

Current Number:  411, Prime? 0, Clocks:         828, Primes:  80

Current Number:  413, Prime? 0, Clocks:         832, Primes:  80

Current Number:  415, Prime? 0, Clocks:         836, Primes:  80

Current Number:  417, Prime? 0, Clocks:         840, Primes:  80

Current Number:  419, Prime? 1, Clocks:         844, Primes:  81

Current Number:  421, Prime? 1, Clocks:         848, Primes:  82

Current Number:  423, Prime? 0, Clocks:         852, Primes:  82

Current Number:  425, Prime? 0, Clocks:         856, Primes:  82

Current Number:  427, Prime? 0, Clocks:         860, Primes:  82

Current Number:  429, Prime? 0, Clocks:         864, Primes:  82

Current Number:  431, Prime? 1, Clocks:         868, Primes:  83

Current Number:  433, Prime? 1, Clocks:         872, Primes:  84

Current Number:  435, Prime? 0, Clocks:         876, Primes:  84

Current Number:  437, Prime? 0, Clocks:         880, Primes:  84

Current Number:  439, Prime? 1, Clocks:         884, Primes:  85

Current Number:  441, Prime? 0, Clocks:         888, Primes:  85

Current Number:  443, Prime? 1, Clocks:         892, Primes:  86

Current Number:  445, Prime? 0, Clocks:         896, Primes:  86

Current Number:  447, Prime? 0, Clocks:         900, Primes:  86

Current Number:  449, Prime? 1, Clocks:         904, Primes:  87

Current Number:  451, Prime? 0, Clocks:         908, Primes:  87

Current Number:  453, Prime? 0, Clocks:         912, Primes:  87

Current Number:  455, Prime? 0, Clocks:         916, Primes:  87

Current Number:  457, Prime? 1, Clocks:         920, Primes:  88

Current Number:  459, Prime? 0, Clocks:         924, Primes:  88

Current Number:  461, Prime? 1, Clocks:         928, Primes:  89

Current Number:  463, Prime? 1, Clocks:         932, Primes:  90

Current Number:  465, Prime? 0, Clocks:         936, Primes:  90

Current Number:  467, Prime? 1, Clocks:         940, Primes:  91

Current Number:  469, Prime? 0, Clocks:         944, Primes:  91

Current Number:  471, Prime? 0, Clocks:         948, Primes:  91

Current Number:  473, Prime? 0, Clocks:         952, Primes:  91

Current Number:  475, Prime? 0, Clocks:         956, Primes:  91

Current Number:  477, Prime? 0, Clocks:         960, Primes:  91

Current Number:  479, Prime? 1, Clocks:         964, Primes:  92

Current Number:  481, Prime? 0, Clocks:         968, Primes:  92

Current Number:  483, Prime? 0, Clocks:         972, Primes:  92

Current Number:  485, Prime? 0, Clocks:         976, Primes:  92

Current Number:  487, Prime? 1, Clocks:         980, Primes:  93

Current Number:  489, Prime? 0, Clocks:         984, Primes:  93

Current Number:  491, Prime? 1, Clocks:         988, Primes:  94

Current Number:  493, Prime? 0, Clocks:         992, Primes:  94

Current Number:  495, Prime? 0, Clocks:         996, Primes:  94

Current Number:  497, Prime? 0, Clocks:        1000, Primes:  94

Current Number:  499, Prime? 1, Clocks:        1004, Primes:  95

Current Number:  501, Prime? 0, Clocks:        1008, Primes:  95

Current Number:  503, Prime? 1, Clocks:        1012, Primes:  96

Current Number:  505, Prime? 0, Clocks:        1016, Primes:  96

Current Number:  507, Prime? 0, Clocks:        1020, Primes:  96

Current Number:  509, Prime? 1, Clocks:        1024, Primes:  97

Current Number:  511, Prime? 0, Clocks:        1028, Primes:  97

Current Number:  513, Prime? 0, Clocks:        1032, Primes:  97

Current Number:  515, Prime? 0, Clocks:        1036, Primes:  97

Current Number:  517, Prime? 0, Clocks:        1040, Primes:  97

Current Number:  519, Prime? 0, Clocks:        1044, Primes:  97

Current Number:  521, Prime? 1, Clocks:        1048, Primes:  98

Current Number:  523, Prime? 1, Clocks:        1052, Primes:  99

Current Number:  525, Prime? 0, Clocks:        1056, Primes:  99

Current Number:  527, Prime? 0, Clocks:        1060, Primes:  99

Current Number:  529, Prime? 0, Clocks:        1064, Primes:  99

Current Number:  531, Prime? 0, Clocks:        1068, Primes:  99

Current Number:  533, Prime? 0, Clocks:        1072, Primes:  99

Current Number:  535, Prime? 0, Clocks:        1076, Primes:  99

Current Number:  537, Prime? 0, Clocks:        1080, Primes:  99

Current Number:  539, Prime? 0, Clocks:        1084, Primes:  99

Current Number:  541, Prime? 1, Clocks:        1088, Primes: 100

Current Number:  543, Prime? 0, Clocks:        1092, Primes: 100

Current Number:  545, Prime? 0, Clocks:        1096, Primes: 100

Current Number:  547, Prime? 1, Clocks:        1100, Primes: 101

Current Number:  549, Prime? 0, Clocks:        1104, Primes: 101

Current Number:  551, Prime? 0, Clocks:        1108, Primes: 101

Current Number:  553, Prime? 0, Clocks:        1112, Primes: 101

Current Number:  555, Prime? 0, Clocks:        1116, Primes: 101

Current Number:  557, Prime? 1, Clocks:        1120, Primes: 102

Current Number:  559, Prime? 0, Clocks:        1124, Primes: 102

Current Number:  561, Prime? 0, Clocks:        1128, Primes: 102

Current Number:  563, Prime? 1, Clocks:        1132, Primes: 103

Current Number:  565, Prime? 0, Clocks:        1136, Primes: 103

Current Number:  567, Prime? 0, Clocks:        1140, Primes: 103

Current Number:  569, Prime? 1, Clocks:        1144, Primes: 104

Current Number:  571, Prime? 1, Clocks:        1148, Primes: 105

Current Number:  573, Prime? 0, Clocks:        1152, Primes: 105

Current Number:  575, Prime? 0, Clocks:        1156, Primes: 105

Current Number:  577, Prime? 1, Clocks:        1160, Primes: 106

Current Number:  579, Prime? 0, Clocks:        1164, Primes: 106

Current Number:  581, Prime? 0, Clocks:        1168, Primes: 106

Current Number:  583, Prime? 0, Clocks:        1172, Primes: 106

Current Number:  585, Prime? 0, Clocks:        1176, Primes: 106

Current Number:  587, Prime? 1, Clocks:        1180, Primes: 107

Current Number:  589, Prime? 0, Clocks:        1184, Primes: 107

Current Number:  591, Prime? 0, Clocks:        1188, Primes: 107

Current Number:  593, Prime? 1, Clocks:        1192, Primes: 108

Current Number:  595, Prime? 0, Clocks:        1196, Primes: 108

Current Number:  597, Prime? 0, Clocks:        1200, Primes: 108

Current Number:  599, Prime? 1, Clocks:        1204, Primes: 109

Current Number:  601, Prime? 1, Clocks:        1208, Primes: 110

Current Number:  603, Prime? 0, Clocks:        1212, Primes: 110

Current Number:  605, Prime? 0, Clocks:        1216, Primes: 110

Current Number:  607, Prime? 1, Clocks:        1220, Primes: 111

Current Number:  609, Prime? 0, Clocks:        1224, Primes: 111

Current Number:  611, Prime? 0, Clocks:        1228, Primes: 111

Current Number:  613, Prime? 1, Clocks:        1232, Primes: 112

Current Number:  615, Prime? 0, Clocks:        1236, Primes: 112

Current Number:  617, Prime? 1, Clocks:        1240, Primes: 113

Current Number:  619, Prime? 1, Clocks:        1244, Primes: 114

Current Number:  621, Prime? 0, Clocks:        1248, Primes: 114

Current Number:  623, Prime? 0, Clocks:        1252, Primes: 114

Current Number:  625, Prime? 0, Clocks:        1256, Primes: 114

Current Number:  627, Prime? 0, Clocks:        1260, Primes: 114

Current Number:  629, Prime? 0, Clocks:        1264, Primes: 114

Current Number:  631, Prime? 1, Clocks:        1268, Primes: 115

Current Number:  633, Prime? 0, Clocks:        1272, Primes: 115

Current Number:  635, Prime? 0, Clocks:        1276, Primes: 115

Current Number:  637, Prime? 0, Clocks:        1280, Primes: 115

Current Number:  639, Prime? 0, Clocks:        1284, Primes: 115

Current Number:  641, Prime? 1, Clocks:        1288, Primes: 116

Current Number:  643, Prime? 1, Clocks:        1292, Primes: 117

Current Number:  645, Prime? 0, Clocks:        1296, Primes: 117

Current Number:  647, Prime? 1, Clocks:        1300, Primes: 118

Current Number:  649, Prime? 0, Clocks:        1304, Primes: 118

Current Number:  651, Prime? 0, Clocks:        1308, Primes: 118

Current Number:  653, Prime? 1, Clocks:        1312, Primes: 119

Current Number:  655, Prime? 0, Clocks:        1316, Primes: 119

Current Number:  657, Prime? 0, Clocks:        1320, Primes: 119

Current Number:  659, Prime? 1, Clocks:        1324, Primes: 120

Current Number:  661, Prime? 1, Clocks:        1328, Primes: 121

Current Number:  663, Prime? 0, Clocks:        1332, Primes: 121

Current Number:  665, Prime? 0, Clocks:        1336, Primes: 121

Current Number:  667, Prime? 0, Clocks:        1340, Primes: 121

Current Number:  669, Prime? 0, Clocks:        1344, Primes: 121

Current Number:  671, Prime? 0, Clocks:        1348, Primes: 121

Current Number:  673, Prime? 1, Clocks:        1352, Primes: 122

Current Number:  675, Prime? 0, Clocks:        1356, Primes: 122

Current Number:  677, Prime? 1, Clocks:        1360, Primes: 123

Current Number:  679, Prime? 0, Clocks:        1364, Primes: 123

Current Number:  681, Prime? 0, Clocks:        1368, Primes: 123

Current Number:  683, Prime? 1, Clocks:        1372, Primes: 124

Current Number:  685, Prime? 0, Clocks:        1376, Primes: 124

Current Number:  687, Prime? 0, Clocks:        1380, Primes: 124

Current Number:  689, Prime? 0, Clocks:        1384, Primes: 124

Current Number:  691, Prime? 1, Clocks:        1388, Primes: 125

Current Number:  693, Prime? 0, Clocks:        1392, Primes: 125

Current Number:  695, Prime? 0, Clocks:        1396, Primes: 125

Current Number:  697, Prime? 0, Clocks:        1400, Primes: 125

Current Number:  699, Prime? 0, Clocks:        1404, Primes: 125

Current Number:  701, Prime? 1, Clocks:        1408, Primes: 126

Current Number:  703, Prime? 0, Clocks:        1412, Primes: 126

Current Number:  705, Prime? 0, Clocks:        1416, Primes: 126

Current Number:  707, Prime? 0, Clocks:        1420, Primes: 126

Current Number:  709, Prime? 1, Clocks:        1424, Primes: 127

Current Number:  711, Prime? 0, Clocks:        1428, Primes: 127

Current Number:  713, Prime? 0, Clocks:        1432, Primes: 127

Current Number:  715, Prime? 0, Clocks:        1436, Primes: 127

Current Number:  717, Prime? 0, Clocks:        1440, Primes: 127

Current Number:  719, Prime? 1, Clocks:        1444, Primes: 128

Current Number:  721, Prime? 0, Clocks:        1448, Primes: 128

Current Number:  723, Prime? 0, Clocks:        1452, Primes: 128

Current Number:  725, Prime? 0, Clocks:        1456, Primes: 128

Current Number:  727, Prime? 1, Clocks:        1460, Primes: 129

Current Number:  729, Prime? 0, Clocks:        1464, Primes: 129

Current Number:  731, Prime? 0, Clocks:        1468, Primes: 129

Current Number:  733, Prime? 1, Clocks:        1472, Primes: 130

Current Number:  735, Prime? 0, Clocks:        1476, Primes: 130

Current Number:  737, Prime? 0, Clocks:        1480, Primes: 130

Current Number:  739, Prime? 1, Clocks:        1484, Primes: 131

Current Number:  741, Prime? 0, Clocks:        1488, Primes: 131

Current Number:  743, Prime? 1, Clocks:        1492, Primes: 132

Current Number:  745, Prime? 0, Clocks:        1496, Primes: 132

Current Number:  747, Prime? 0, Clocks:        1500, Primes: 132

Current Number:  749, Prime? 0, Clocks:        1504, Primes: 132

Current Number:  751, Prime? 1, Clocks:        1508, Primes: 133

Current Number:  753, Prime? 0, Clocks:        1512, Primes: 133

Current Number:  755, Prime? 0, Clocks:        1516, Primes: 133

Current Number:  757, Prime? 1, Clocks:        1520, Primes: 134

Current Number:  759, Prime? 0, Clocks:        1524, Primes: 134

Current Number:  761, Prime? 1, Clocks:        1528, Primes: 135

Current Number:  763, Prime? 0, Clocks:        1532, Primes: 135

Current Number:  765, Prime? 0, Clocks:        1536, Primes: 135

Current Number:  767, Prime? 0, Clocks:        1540, Primes: 135

Current Number:  769, Prime? 1, Clocks:        1544, Primes: 136

Current Number:  771, Prime? 0, Clocks:        1548, Primes: 136

Current Number:  773, Prime? 1, Clocks:        1552, Primes: 137

Current Number:  775, Prime? 0, Clocks:        1556, Primes: 137

Current Number:  777, Prime? 0, Clocks:        1560, Primes: 137

Current Number:  779, Prime? 0, Clocks:        1564, Primes: 137

Current Number:  781, Prime? 0, Clocks:        1568, Primes: 137

Current Number:  783, Prime? 0, Clocks:        1572, Primes: 137

Current Number:  785, Prime? 0, Clocks:        1576, Primes: 137

Current Number:  787, Prime? 1, Clocks:        1580, Primes: 138

Current Number:  789, Prime? 0, Clocks:        1584, Primes: 138

Current Number:  791, Prime? 0, Clocks:        1588, Primes: 138

Current Number:  793, Prime? 0, Clocks:        1592, Primes: 138

Current Number:  795, Prime? 0, Clocks:        1596, Primes: 138

Current Number:  797, Prime? 1, Clocks:        1600, Primes: 139

Current Number:  799, Prime? 0, Clocks:        1604, Primes: 139

Current Number:  801, Prime? 0, Clocks:        1608, Primes: 139

Current Number:  803, Prime? 0, Clocks:        1612, Primes: 139

Current Number:  805, Prime? 0, Clocks:        1616, Primes: 139

Current Number:  807, Prime? 0, Clocks:        1620, Primes: 139

Current Number:  809, Prime? 1, Clocks:        1624, Primes: 140

Current Number:  811, Prime? 1, Clocks:        1628, Primes: 141

Current Number:  813, Prime? 0, Clocks:        1632, Primes: 141

Current Number:  815, Prime? 0, Clocks:        1636, Primes: 141

Current Number:  817, Prime? 0, Clocks:        1640, Primes: 141

Current Number:  819, Prime? 0, Clocks:        1644, Primes: 141

Current Number:  821, Prime? 1, Clocks:        1648, Primes: 142

Current Number:  823, Prime? 1, Clocks:        1652, Primes: 143

Current Number:  825, Prime? 0, Clocks:        1656, Primes: 143

Current Number:  827, Prime? 1, Clocks:        1660, Primes: 144

Current Number:  829, Prime? 1, Clocks:        1664, Primes: 145

Current Number:  831, Prime? 0, Clocks:        1668, Primes: 145

Current Number:  833, Prime? 0, Clocks:        1672, Primes: 145

Current Number:  835, Prime? 0, Clocks:        1676, Primes: 145

Current Number:  837, Prime? 0, Clocks:        1680, Primes: 145

Current Number:  839, Prime? 1, Clocks:        1684, Primes: 146

Current Number:  841, Prime? 0, Clocks:        1688, Primes: 146

Current Number:  843, Prime? 0, Clocks:        1692, Primes: 146

Current Number:  845, Prime? 0, Clocks:        1696, Primes: 146

Current Number:  847, Prime? 0, Clocks:        1700, Primes: 146

Current Number:  849, Prime? 0, Clocks:        1704, Primes: 146

Current Number:  851, Prime? 0, Clocks:        1708, Primes: 146

Current Number:  853, Prime? 1, Clocks:        1712, Primes: 147

Current Number:  855, Prime? 0, Clocks:        1716, Primes: 147

Current Number:  857, Prime? 1, Clocks:        1720, Primes: 148

Current Number:  859, Prime? 1, Clocks:        1724, Primes: 149

Current Number:  861, Prime? 0, Clocks:        1728, Primes: 149

Current Number:  863, Prime? 1, Clocks:        1732, Primes: 150

Current Number:  865, Prime? 0, Clocks:        1736, Primes: 150

Current Number:  867, Prime? 0, Clocks:        1740, Primes: 150

Current Number:  869, Prime? 0, Clocks:        1744, Primes: 150

Current Number:  871, Prime? 0, Clocks:        1748, Primes: 150

Current Number:  873, Prime? 0, Clocks:        1752, Primes: 150

Current Number:  875, Prime? 0, Clocks:        1756, Primes: 150

Current Number:  877, Prime? 1, Clocks:        1760, Primes: 151

Current Number:  879, Prime? 0, Clocks:        1764, Primes: 151

Current Number:  881, Prime? 1, Clocks:        1768, Primes: 152

